timestamp,fx,fy,fz,tx,ty,tz,frequency
1748227316.5989432,0.01,0.05,-0.05,-0.0,0.01,0.0,64
1748227316.6148045,0.01,0.07,-0.06,-0.0,0.01,0.0,63
1748227316.6150367,0.06,0.02,-0.03,-0.01,0.0,0.0,94
1748227316.6309214,0.08,-0.02,-0.04,-0.01,0.0,0.0,84
1748227316.6311574,0.09,-0.04,-0.04,-0.0,0.0,0.0,104
1748227316.6471488,0.07,-0.07,-0.05,-0.0,0.0,0.0,94
1748227316.6629689,0.05,-0.08,-0.05,-0.0,0.0,0.0,88
1748227316.663272,0.09,-0.03,-0.05,-0.0,0.0,0.0,100
1748227316.6790876,0.11,0.01,-0.07,-0.0,0.0,0.0,94
1748227316.6950111,0.11,0.02,-0.08,-0.0,0.0,0.0,89
1748227316.6953225,0.12,0.0,-0.04,-0.0,0.0,0.0,98
1748227316.7110898,0.11,-0.05,0.02,-0.0,0.0,0.0,94
1748227316.7114015,0.1,-0.06,0.01,-0.0,0.0,0.0,101
1748227316.7271616,0.09,-0.05,-0.01,-0.0,0.0,0.0,97
1748227316.743055,0.06,-0.02,0.01,-0.0,0.0,-0.0,94
1748227316.7433722,0.03,-0.02,0.01,-0.0,0.0,-0.0,100
1748227316.7591357,0.04,-0.04,-0.02,-0.0,0.0,-0.0,97
1748227316.7750454,0.09,-0.01,-0.03,-0.0,0.0,0.0,94
1748227316.77536,0.12,0.0,-0.01,-0.0,0.0,0.0,99
1748227316.7911077,0.12,-0.01,0.01,-0.0,0.0,0.0,96
1748227316.7914126,0.11,0.0,-0.03,-0.0,0.0,-0.0,101
1748227316.8072329,0.09,-0.03,-0.07,-0.0,0.0,0.0,98
1748227316.8230546,0.08,-0.05,-0.05,-0.0,0.0,0.0,96
1748227316.8233585,0.07,-0.06,-0.01,-0.0,0.0,0.0,100
1748227316.8391747,0.03,-0.03,0.02,-0.0,0.0,0.0,98
1748227316.8550813,-0.01,-0.05,0.02,-0.0,0.0,0.0,96
1748227316.8553984,-0.01,-0.07,-0.01,-0.0,0.0,0.0,99
1748227316.871154,0.01,-0.04,-0.01,-0.0,0.0,0.0,97
1748227316.8714576,0.02,-0.01,-0.01,-0.0,0.0,0.0,101
1748227316.887232,0.01,0.0,-0.01,-0.0,0.0,0.0,99
1748227316.9031143,0.03,-0.02,-0.05,-0.0,0.0,0.0,97
1748227316.903419,0.03,-0.03,-0.08,-0.0,0.01,0.0,100
1748227316.9192364,0.03,-0.05,-0.02,-0.0,0.0,0.0,98
1748227316.9351337,0.06,-0.05,0.03,-0.0,0.0,0.0,97
1748227316.935463,0.07,-0.02,0.0,-0.0,0.0,0.0,99
1748227316.9511666,0.11,0.08,-0.02,0.0,0.0,0.0,98
1748227316.951465,0.13,0.15,-0.02,0.0,0.0,0.0,100
1748227316.9672549,0.09,0.13,-0.04,0.0,0.0,0.0,99
1748227316.9832547,0.06,0.1,-0.05,0.0,0.0,0.0,97
1748227316.9840746,0.04,0.08,-0.03,0.0,0.01,0.0,100
1748227316.9992235,0.04,0.06,0.01,0.0,0.0,0.0,99
1748227317.0151417,0.02,0.0,0.03,-0.0,0.0,0.0,97
1748227317.0154595,0.0,-0.04,0.03,-0.0,0.0,0.0,99
1748227317.0312068,0.01,-0.02,0.01,-0.0,0.0,0.0,98
1748227317.031509,0.03,-0.01,0.0,-0.0,0.0,0.0,100
1748227317.047383,0.07,0.01,0.01,0.0,0.0,0.0,99
1748227317.063177,0.12,0.01,0.01,0.0,0.0,0.0,98
1748227317.0634885,0.14,0.0,-0.01,0.0,0.0,0.0,100
1748227317.0793107,0.11,0.02,-0.01,0.0,0.0,0.0,99
1748227317.0951786,0.05,-0.02,0.01,-0.0,0.0,-0.0,98
1748227317.0955384,0.0,-0.06,0.0,-0.0,0.0,0.0,100
1748227317.111312,0.02,-0.03,-0.01,-0.0,0.0,0.0,98
1748227317.1116118,0.04,0.01,-0.05,-0.0,0.0,0.0,100
1748227317.1273375,0.04,0.01,-0.09,-0.0,0.0,0.0,99
1748227317.1432014,0.08,-0.07,-0.06,-0.0,0.0,0.0,98
1748227317.143504,0.12,-0.14,-0.02,-0.01,0.0,0.0,100
1748227317.1592863,0.09,-0.11,0.0,-0.0,0.0,0.0,99
1748227317.1751935,0.09,-0.04,0.0,-0.0,0.0,0.0,98
1748227317.175502,0.13,-0.01,-0.02,-0.0,0.0,0.0,100
1748227317.191236,0.15,0.02,-0.05,0.0,0.0,0.0,99
1748227317.1915483,0.14,0.07,-0.06,0.0,0.0,0.0,100
1748227317.2073784,0.08,0.04,-0.05,0.0,0.0,0.0,99
1748227317.2232053,0.03,-0.02,0.0,-0.0,0.0,0.0,98
1748227317.2235017,0.02,-0.01,0.03,-0.0,0.0,0.0,100
1748227317.2393312,0.02,0.01,0.01,-0.0,0.0,-0.0,99
1748227317.2551994,0.06,0.04,-0.03,-0.0,0.0,-0.0,98
1748227317.255515,0.09,0.08,-0.02,0.0,0.0,0.0,100
1748227317.2713003,0.08,0.07,-0.01,0.0,0.0,0.0,99
1748227317.2716517,0.1,0.03,0.01,0.0,0.0,0.0,100
1748227317.2872093,0.12,-0.01,0.02,0.0,0.0,0.0,99
1748227317.3031907,0.11,0.0,0.0,0.0,0.0,0.0,99
1748227317.3034446,0.14,0.05,-0.02,-0.0,0.0,0.0,100
1748227317.319221,0.18,0.08,-0.04,-0.0,0.0,0.0,99
1748227317.3351038,0.15,0.05,-0.08,-0.0,0.0,-0.0,98
1748227317.3353705,0.15,-0.01,-0.08,-0.0,0.0,-0.0,100
1748227317.3511868,0.17,-0.05,-0.06,-0.0,0.0,-0.0,99
1748227317.3514423,0.13,-0.01,-0.04,-0.0,0.0,0.0,100
1748227317.367313,0.13,0.06,0.0,-0.0,0.0,0.0,99
1748227317.3832164,0.16,0.11,0.0,-0.0,0.0,0.0,99
1748227317.3834643,0.12,0.09,0.0,0.0,0.0,0.0,100
1748227317.3993375,0.06,0.07,0.01,0.0,0.0,0.0,99
1748227317.4152005,0.03,0.06,0.03,-0.0,0.0,0.0,99
1748227317.41543,0.06,0.01,0.01,-0.0,0.0,0.0,100
1748227317.4312742,0.12,0.0,-0.01,-0.0,0.0,0.0,99
1748227317.4315193,0.1,0.06,-0.02,0.0,0.0,0.0,100
1748227317.4473803,0.03,0.12,-0.01,0.0,0.0,0.0,100
1748227317.4632697,0.06,0.04,0.0,0.0,0.0,0.0,99
1748227317.463522,0.17,-0.04,0.0,0.0,0.0,-0.0,100
1748227317.4793744,0.18,0.01,-0.01,0.0,0.0,-0.0,99
1748227317.4953852,0.14,0.04,-0.02,-0.0,0.0,-0.0,99
1748227317.4957998,0.14,0.01,-0.04,-0.0,0.0,0.0,100
1748227317.5113404,0.15,0.02,-0.08,0.0,0.0,0.0,99
